Konsulentrolle,Rollekategori,Kompetansekrav,Erfaringskrav,Konsulentegenskaper,Kundenavn,Bransje,Årstall
Ekstern kvalitetssikrer og rådgiver for Autosys Kjøretøy,Offentlig kvalitetssikring,"Kompetanse i Statens prosjektmodell (KS ordningen), PRINCE2, Prosjektveiviseren, Scrum, Kanban, DevOps, ISO 9001",Inngående erfaring og dyp kompetanse fra tilsvarende oppgaver,God kjennskap til Statens vegvesen og rammebetingelsene for prosjektet,Statens vegvesen,Offentlig og stat,2015
Merkantil leder for EPJ/PAS og IAM anskaffelser,Prosjektledelse,"Kompetanse innen anskaffelsesstrategi, prekvalifisering, konkurransedokumenter, forhandlinger, kravspesifisering, kontrakt og prisvurdering",Erfaring med store anskaffelsesprosjekter og nasjonalt fokus,,Helse Midt-Norge RHF,Helse,2015
Informasjonsarkitekt,Virksomhetsarkitektur,Kompetanse innen informasjonsforvaltning og grunndata,Erfaring som informasjonsarkitekt i anskaffelser og implementeringsprosjekter,Fokus på å sikre gjenbruk av informasjon,Helse Midt-Norge RHF,Helse,2015
Ansvarlig for utredning av strategiske føringer,Rådgivning forretning,Kompetanse innen strategiske føringer for løsninger og forvaltningsorganisasjon,Erfaring i strategisk utredning,,Helse Midt-Norge RHF,Helse,2015
Arkitekt for datamigrering,Løsningsarkitektur,Kompetanse i utforming og gjennomføring av løsningskonsept for datamigrering,Erfaring med datamigrering fra flere systemer,,Helse Midt-Norge RHF,Helse,2015
MDM løsning etablering,Løsningsarkitektur,Kompetanse i Master Data Management,Erfaring med forvaltning av grunndata fra ulike kilder,Aktiv deltakelse i vedlikehold og forvaltning av løsninger,Helse Midt-Norge RHF,Helse,2015
Kvalitetssikrer for SAFIR prosjektet,Offentlig kvalitetssikring,,,,Finansdepartementet,Offentlig og stat,2015
Prosjektleder for omstillingsarbeidet ved Deichman Bibliotek,Prosjektledelse,"Kompetanse innen prosjektledelse, organisasjonsutvikling og endringsledelse",Erfaring med store omstillingsprosesser og lederstøtte,"Evne til å lede og koordinere omfattende prosjekter, samt evne til å støtte og coache ledere på alle nivåer","Oslo Kommune, Deichman",Bibliotek/Offentlig sektor,2016
Endringsleder for Deichman Bibliotek,Endringsledelse,"Kompetanse i utvikling og implementering av ny organisasjonsstruktur, kompetanseutvikling",Erfaring med forankring av endringsprosesser og involvering av ansatte,"Tydelig kommunikasjon, evne til å involvere og forankre endringer hos ledere og ansatte","Oslo Kommune, Deichman",Bibliotek/Offentlig sektor,2016
Prosjektleder for anskaffelse og implementering av ny sak-/ arkivløsning,Prosjektledelse,"Kompetanse innen informasjonsforvaltning, dokumenthåndtering, offentlig anskaffelse regelverk",Erfaring med prosjektledelse for anskaffelse og implementering av IT-systemer,,Ruter AS,Offentlig og stat,2016
